,White Rate,White,White,Black Rate,Black,Black
,Rate,Count,Pop,Rate,Count,Pop
AL: Morgan County (01103),22.4,43,"200,728",^,^,"15,830"
AL: Perry County (01105),^,^,"14,411",56.1,13,"16,918"
AL: Pickens County (01107),^,^,"35,153",^,^,"17,132"
AL: Pike County (01109),^,^,"42,423",62.9,14,"17,633"
AL: Randolph County (01111),^,^,"41,061",^,^,"8,661"
AL: Russell County (01113),32.1,20,"69,986",72.7,29,"36,743"
AL: St. Clair County (01115),20.4,18,"97,472",^,^,"7,931"
AL: Shelby County (01117),28.6,35,"151,316",82.6,10,"11,666"
AL: Sumter County (01119),^,^,"12,657",49,15,"21,751"
AL: Talladega County (01121),23,31,"130,064",50.8,19,"38,076"
AL: Tallapoosa County (01123),27.8,24,"77,733",57.4,12,"18,908"
AL: Tuscaloosa County (01125),29.1,65,"226,804",53.7,37,"64,811"
AL: Walker County (01127),19.9,34,"156,353",^,^,"8,746"
AL: Washington County (01129),^,^,"26,715",^,^,"8,243"
AL: Wilcox County (01131),^,^,"13,300",58.5,16,"18,342"
AL: Winston County (01133),25.2,14,"53,944",^,^,124
AK: Anchorage Municipality (02020) - 1990+,^,^,0,^,^,0
AK: Bethel Census Area (02050) - 1990+,^,^,0,^,^,0
AK: Bristol Bay Borough (02060) - 1990+,^,^,0,^,^,0
AK: Denali Borough (02068) - 1990+,^,^,0,^,^,0
AK: Fairbanks North Star Borough (02090) - 1990+,^,^,0,^,^,0
AK: Haines Borough (02100) - 1990+,^,^,0,^,^,0
AK: Juneau City and Borough (02110) - 1990+,^,^,0,^,^,0
AK: Kenai Peninsula Borough (02122) - 1990+,^,^,0,^,^,0
AK: Ketchikan Gateway Borough (02130) - 1990+,^,^,0,^,^,0
AK: Kodiak Island Borough (02150) - 1990+,^,^,0,^,^,0
AK: Matanuska-Susitna Borough (02170) - 1990+,^,^,0,^,^,0
AK: Nome Census Area (02180) - 1990+,^,^,0,^,^,0
AK: North Slope Borough (02185) - 1990+,^,^,0,^,^,0
AK: Northwest Arctic Borough (02188) - 1990+,^,^,0,^,^,0
AK: Sitka City and Borough (02220) - 1990+,^,^,0,^,^,0
AK: Southeast Fairbanks Census Area (02240) - 1990+,^,^,0,^,^,0
AK: Valdez-Cordova Census Area (02261) - 1990+,^,^,0,^,^,0
AK: Wade Hampton Census Area (02270) - 1990+,^,^,0,^,^,0
AK: Yukon-Koyukuk Census Area (02290) - 1990+,^,^,0,^,^,0
AK: Petersburg Census Area (02195) - 2014+,^,^,0,^,^,0
AK: Prince of Wales-Hyder Census Area (02198) - 2014+,^,^,0,^,^,0
AK: Wrangell Borough (02275) - 2014+,^,^,0,^,^,0
AK: Prince of Wales-Outer Ketchikan CA (02201) - 1990-2013,^,^,0,^,^,0
AK: Wrangell-Petersburg Census Area (02280) - 1990-2013,^,^,0,^,^,0
AK: Aleutians East Borough (02013) - 1994+,^,^,0,^,^,0
AK: Aleutians West Census Area (02016) - 1994+,^,^,0,^,^,0
AK: Aleutian Islands Census Area (02010) - 1990-1993,^,^,0,^,^,0
AK: Dillingham Census Area (02070) - 1994+,^,^,0,^,^,0
AK: Lake and Peninsula Borough (02164) - 1994+,^,^,0,^,^,0
AK: Dillingham/Lake and Peninsula (02910) - 1990-1993,^,^,0,^,^,0
AK: Hoonah-Angoon Census Area (02105) - 2014+,^,^,0,^,^,0
AK: Skagway Municipality (02230) - 2014+,^,^,0,^,^,0
AK: Skagway-Hoonah-Angoon Census Area (02232) -1994-2013,^,^,0,^,^,0
AK: Yakutat City and Borough (02282) - 1994+,^,^,0,^,^,0
AK: Skagway-Yakutat-Angoon Census Ar (02231) - 1990-1993,^,^,0,^,^,0
AK: Alaska (02900) - 1969-1989,29.7,74,"655,772",^,^,"18,749"
AZ: Apache County (04001),^,^,"25,150",^,^,350
AZ: Cochise County (04003),28.4,55,"201,767",^,^,"4,389"
AZ: Coconino County (04005),38,24,"101,313",^,^,"2,408"
AZ: Gila County (04007),21.2,23,"96,540",^,^,140
AZ: Graham County (04009),48.3,23,"46,202",^,^,665
AZ: Greenlee County (04011),^,^,"17,370",^,^,67
AZ: Maricopa County (04013),27.7,"1,141","3,968,892",57.6,43,"97,027"
AZ: Mohave County (04015),35.1,83,"223,359",^,^,620
AZ: Navajo County (04017),23.2,15,"75,136",^,^,"1,352"
AZ: Pima County (04019),27.9,404,"1,316,062",83.2,22,"32,055"
AZ: Pinal County (04021),34.3,76,"222,441",^,^,"5,271"
AZ: Santa Cruz County (04023),26.5,13,"50,215",^,^,207
AZ: Yavapai County (04025),29.5,103,"279,852",^,^,577
AZ: La Paz County (04012) - 1994+,^,^,0,^,^,0
AZ: Yuma County (04027) - 1994+,^,^,0,^,^,0
AZ: La Paz/Yuma (04910) - 1969-1993,27.1,63,"219,294",^,^,"3,929"
AR: Arkansas County (05001),40.6,23,"47,152",^,^,"9,139"
AR: Ashley County (05003),22.9,12,"46,215",79.7,15,"13,719"
