2014 - 2022 Prostate Cancer Mortality 40+ Years Old,,,,,,
,,,,,,
,White Rate,White,White,Black Rate,Black,Black
,Rate,Count,Pop,Rate,Count,Pop
Alabama,15.7,"2,937","16,229,828",33.4,"1,566","5,179,612"
  AL: Autauga County (01001),14.7,32,"203,252",^,^,"44,891"
  AL: Baldwin County (01003),16.6,190,"981,658",41.2,26,"77,030"
  AL: Barbour County (01005),16.5,13,"66,672",32.5,18,"49,179"
  AL: Bibb County (01007),^,^,"82,273",^,^,"18,144"
  AL: Blount County (01009),17.3,50,"262,638",^,^,"4,325"
  AL: Bullock County (01011),^,^,"14,334",36.1,11,"31,524"
  AL: Butler County (01013),15.6,12,"54,082",37.4,13,"34,622"
  AL: Calhoun County (01015),16.8,82,"413,829",35.3,28,"92,757"
  AL: Chambers County (01017),12.2,16,"103,210",37.2,24,"60,464"
  AL: Cherokee County (01019),17.4,26,"123,685",^,^,"5,339"
  AL: Chilton County (01021),14,26,"177,621",^,^,"18,422"
  AL: Choctaw County (01023),^,^,"38,965",^,^,"27,005"
  AL: Clarke County (01025),19.1,18,"65,424",38.9,19,"45,822"
  AL: Clay County (01027),19,14,"59,793",^,^,"9,166"
  AL: Cleburne County (01029),^,^,"68,325",^,^,"2,263"
  AL: Coffee County (01031),15.9,34,"185,133",27.5,10,"38,450"
  AL: Colbert County (01033),10.2,28,"224,034",22.8,11,"40,608"
  AL: Conecuh County (01035),^,^,"34,139",^,^,"24,708"
  AL: Coosa County (01037),20.5,10,"40,563",^,^,"16,585"
  AL: Covington County (01039),20.1,44,"160,760",^,^,"19,298"
  AL: Crenshaw County (01041),^,^,"47,250",^,^,"14,091"
  AL: Cullman County (01043),15,65,"388,177",^,^,"4,370"
  AL: Dale County (01045),19.4,38,"167,113",^,^,"38,806"
  AL: Dallas County (01047),20.3,17,"62,346",41.1,46,"114,780"
  AL: DeKalb County (01049),15.5,52,"303,626",^,^,"5,548"
  AL: Elmore County (01051),17.2,55,"306,190",36.3,16,"65,429"
  AL: Escambia County (01053),13,19,"114,881",45.9,22,"46,088"
  AL: Etowah County (01055),16.6,80,"413,172",33.3,20,"65,278"
  AL: Fayette County (01057),25.7,22,"70,278",^,^,"8,971"
  AL: Franklin County (01059),12.5,19,"131,598",^,^,"6,213"
  AL: Geneva County (01061),18.3,27,"115,193",^,^,"11,554"
  AL: Greene County (01063),^,^,"8,817",38.2,14,"29,141"
  AL: Hale County (01065),^,^,"30,462",36.1,15,"36,863"
  AL: Henry County (01067),^,^,"63,806",41.5,11,"21,573"
  AL: Houston County (01069),13.6,59,"360,059",33.7,32,"106,420"
  AL: Jackson County (01071),18.9,51,"242,556",^,^,"8,444"
  AL: Jefferson County (01073),14.9,303,"1,634,656",34.4,370,"1,155,132"
  AL: Lamar County (01075),13,11,"61,984",^,^,"6,905"
  AL: Lauderdale County (01077),14.6,71,"388,919",^,^,"34,937"
  AL: Lawrence County (01079),16.1,23,"130,382",^,^,"18,281"
  AL: Lee County (01081),21.4,94,"444,377",60.9,63,"142,211"
  AL: Limestone County (01083),12,45,"374,810",22.6,10,"59,859"
  AL: Lowndes County (01085),^,^,"15,047",^,^,"32,942"
  AL: Macon County (01087),^,^,"17,794",37.5,31,"66,439"
  AL: Madison County (01089),15.1,201,"1,225,282",23.4,63,"341,861"
  AL: Marengo County (01091),^,^,"46,854",29.6,14,"43,862"
  AL: Marion County (01093),22.8,40,"138,513",^,^,"5,227"
  AL: Marshall County (01095),17.4,76,"403,558",^,^,"9,533"
  AL: Mobile County (01097),15.2,200,"1,147,772",28.1,155,"563,561"
  AL: Monroe County (01099),14.4,11,"58,809",33.4,12,"37,473"
  AL: Montgomery County (01101),16.4,91,"412,416",36,151,"490,332"
  AL: Morgan County (01103),15.4,83,"485,500",^,^,"60,805"
  AL: Perry County (01105),^,^,"13,518",^,^,"25,487"
  AL: Pickens County (01107),^,^,"57,424",^,^,"33,053"
  AL: Pike County (01109),13.4,14,"77,710",26.3,10,"41,690"
  AL: Randolph County (01111),9.3,10,"88,016",^,^,"17,870"
  AL: Russell County (01113),24.2,36,"131,471",62.5,53,"106,296"
  AL: St. Clair County (01115),18.3,71,"367,261",^,^,"35,054"
  AL: Shelby County (01117),13.3,114,"835,106",21.4,13,"105,907"
  AL: Sumter County (01119),^,^,"13,862",37.2,15,"37,718"
  AL: Talladega County (01121),15,47,"264,565",32.4,29,"110,018"
  AL: Tallapoosa County (01123),19.1,37,"156,574",40.3,19,"47,238"
  AL: Tuscaloosa County (01125),12.8,79,"574,766",27.8,54,"240,143"
  AL: Walker County (01127),19.3,63,"289,219",^,^,"16,188"
  AL: Washington County (01129),20.5,13,"52,990",66.3,10,"17,032"
  AL: Wilcox County (01131),^,^,"17,398",44.2,15,"31,336"
  AL: Winston County (01133),16.3,23,"117,361",^,^,"1,051"
Alaska,22,374,"2,115,523",42.5,23,"94,296"
  AK: Anchorage Municipality (02020) - 1990+,21.3,135,"809,376",53.4,18,"61,714"
  AK: Bethel Census Area (02050) - 1990+,^,^,"8,817",^,^,830
  AK: Bristol Bay Borough (02060) - 1990+,^,^,"2,165",^,^,62
  AK: Denali Borough (02068) - 1990+,^,^,"6,601",^,^,120
  AK: Fairbanks North Star Borough (02090) - 1990+,15,36,"277,985",^,^,"12,274"
  AK: Haines Borough (02100) - 1990+,^,^,"10,203",^,^,112
  AK: Juneau City and Borough (02110) - 1990+,14.1,15,"109,524",^,^,"2,280"
  AK: Kenai Peninsula Borough (02122) - 1990+,24.8,53,"241,575",^,^,"1,931"
  AK: Ketchikan Gateway Borough (02130) - 1990+,^,^,"46,791",^,^,670
  AK: Kodiak Island Borough (02150) - 1990+,^,^,"28,501",^,^,500
  AK: Matanuska-Susitna Borough (02170) - 1990+,28.1,83,"374,333",^,^,"6,087"
  AK: Nome Census Area (02180) - 1990+,^,^,"7,387",^,^,362
  AK: North Slope Borough (02185) - 1990+,^,^,"19,464",^,^,855
  AK: Northwest Arctic Borough (02188) - 1990+,^,^,"4,480",^,^,429
  AK: Sitka City and Borough (02220) - 1990+,^,^,"28,078",^,^,344
  AK: Southeast Fairbanks Census Area (02240) - 1990+,^,^,"24,138",^,^,569
  AK: Valdez-Cordova Census Area (02261) - 1990+,^,^,"34,761",^,^,356
  AK: Wade Hampton Census Area (02270) - 1990+,^,^,"1,393",^,^,82
  AK: Yukon-Koyukuk Census Area (02290) - 1990+,^,^,"6,460",^,^,292
  AK: Wrangell-Petersburg-Prince of Wales-Hyder Census Area - 1990+,^,^,"38,751",^,^,765
    AK: Petersburg Census Area (02195) - 2014+,^,^,"13,158",^,^,339
    AK: Prince of Wales-Hyder Census Area (02198) - 2014+,^,^,"16,379",^,^,270
    AK: Wrangell Borough (02275) - 2014+,^,^,"9,214",^,^,156
    AK: Prince of Wales-Outer Ketchikan CA (02201) - 1990-2013,^,^,0,^,^,0
