,All races,All races,All races,White,White,White,Black,Black,Black
,Rate,Count,Pop,Rate,Count,Pop,Rate,Count,Pop
Alabama,42.4,"26,592","68,296,088",32.9,"16,300","53,536,818",79,"10,292","14,759,270"
  AL: Autauga County (01001),39.1,198,"609,133",29.8,122,"500,533",80.9,76,"108,600"
  AL: Baldwin County (01003),41,939,"2,482,810",36.7,782,"2,294,783",98.3,157,"188,027"
  AL: Barbour County (01005),49.8,207,"432,064",30.4,78,"267,962",81.3,129,"164,102"
  AL: Bibb County (01007),34.6,95,"299,583",30.1,68,"248,290",57.8,27,"51,293"
  AL: Blount County (01009),36.7,251,"771,915",36.4,245,"761,501",^,^,"10,414"
  AL: Bullock County (01011),57.4,107,"179,926",24.1,16,"63,472",76.4,91,"116,454"
  AL: Butler County (01013),41.5,166,"380,603",29.5,82,"258,130",68.2,84,"122,473"
  AL: Calhoun County (01015),38.8,630,"1,799,635",31.3,434,"1,527,330",84.5,196,"272,305"
  AL: Chambers County (01017),53.2,345,"658,094",40.4,190,"467,498",88.3,155,"190,596"
  AL: Cherokee County (01019),30.6,119,"418,970",28.4,106,"398,948",76.4,13,"20,022"
  AL: Chilton County (01021),34.2,187,"606,384",29.8,149,"551,978",77.9,38,"54,406"
  AL: Choctaw County (01023),54.8,143,"267,480",42.3,67,"163,792",75.3,76,"103,688"
  AL: Clarke County (01025),58.1,249,"431,654",38.5,109,"277,561",96.2,140,"154,093"
  AL: Clay County (01027),48.9,128,"255,614",44,104,"227,429",94.9,24,"28,185"
  AL: Cleburne County (01029),32.9,68,"232,794",31.1,62,"224,276",^,^,"8,518"
  AL: Coffee County (01031),41.5,269,"700,228",33.8,186,"595,846",87.8,83,"104,382"
  AL: Colbert County (01033),35,315,"944,801",29.2,225,"808,767",69.3,90,"136,034"
  AL: Conecuh County (01035),37.8,104,"261,703",26,46,"168,081",59.7,58,"93,622"
  AL: Coosa County (01037),46.4,90,"210,573",32.4,47,"155,284",86.9,43,"55,289"
  AL: Covington County (01039),39.3,288,"711,380",34.9,234,"643,296",85.8,54,"68,084"
  AL: Crenshaw County (01041),40,105,"255,904",29.4,60,"199,845",78.9,45,"56,059"
  AL: Cullman County (01043),35.4,419,"1,252,427",35.5,417,"1,242,507",^,^,"9,920"
  AL: Dale County (01045),36,214,"656,372",31.7,163,"558,242",63.8,51,"98,130"
  AL: Dallas County (01047),59.3,424,"748,900",32,110,"351,736",85.2,314,"397,164"
  AL: DeKalb County (01049),29.8,284,"1,011,336",29.4,276,"996,813",^,^,"14,523"
  AL: Elmore County (01051),40,325,"940,803",35,243,"800,500",71.1,82,"140,303"
  AL: Escambia County (01053),43.7,252,"594,327",33.9,146,"445,407",73.9,106,"148,920"
  AL: Etowah County (01055),37.4,631,"1,802,433",31.9,481,"1,595,966",86.1,150,"206,467"
  AL: Fayette County (01057),43.6,140,"326,295",38.8,111,"290,759",82.1,29,"35,536"
  AL: Franklin County (01059),31.8,156,"505,391",31.1,147,"485,628",^,^,"19,763"
  AL: Geneva County (01061),40.1,183,"463,448",37.3,156,"422,591",70.9,27,"40,857"
  AL: Greene County (01063),58.8,106,"171,269",35,17,"47,812",68.3,89,"123,457"
