,00 years,01 years,02 years,03 years,04 years,05 years,06 years,07 years,08 years,09 years,10 years,11 years,12 years,13 years,14 years,15 years,16 years,17 years,18 years,19 years,20 years,21 years,22 years,23 years,24 years,25 years,26 years,27 years,28 years,29 years,30 years,31 years,32 years,33 years,34 years,35 years,36 years,37 years,38 years,39 years,40 years,41 years,42 years,43 years,44 years,45 years,46 years,47 years,48 years,49 years,50 years,51 years,52 years,53 years,54 years,55 years,56 years,57 years,58 years,59 years,60 years,61 years,62 years,63 years,64 years,65 years,66 years,67 years,68 years,69 years,70 years,71 years,72 years,73 years,74 years,75 years,76 years,77 years,78 years,79 years,80 years,81 years,82 years,83 years,84 years,85+ years
Alabama,"1,779,829","1,770,609","1,776,834","1,783,589","1,796,113","1,803,368","1,800,945","1,814,264","1,802,089","1,847,763","1,887,063","1,880,082","1,894,428","1,901,764","1,904,858","1,923,816","1,934,528","1,945,914","1,945,310","1,991,282","1,998,054","1,990,985","1,965,454","1,945,863","1,908,323","1,888,269","1,865,584","1,863,805","1,827,566","1,833,779","1,840,151","1,815,469","1,834,701","1,849,166","1,885,105","1,902,279","1,894,497","1,897,330","1,880,276","1,921,951","1,916,351","1,903,419","1,909,675","1,908,532","1,906,729","1,894,242","1,873,032","1,867,977","1,837,491","1,842,358","1,814,806","1,777,378","1,758,303","1,733,703","1,720,986","1,676,525","1,646,852","1,606,303","1,558,894","1,531,408","1,488,793","1,440,180","1,409,463","1,370,864","1,333,911","1,287,150","1,240,530","1,209,937","1,155,811","1,108,452","1,073,717","1,015,650","962,718","911,236","870,906","828,208","783,614","733,758","687,611","642,060","604,217","544,485","492,105","455,448","407,894","2,106,682"
  AL: Autauga County (01001),"18,222","18,787","19,227","19,428","19,567","20,300","20,686","21,423","21,495","21,936","22,543","22,466","22,832","23,439","23,466","22,954","23,593","24,343","20,728","16,854","16,651","16,335","16,176","17,176","17,317","17,185","17,901","18,179","17,951","17,899","18,585","18,117","19,711","19,606","20,305","21,638","22,182","22,024","22,035","22,401","22,228","22,660","22,291","21,570","21,855","21,455","20,943","20,462","20,090","19,830","19,218","18,913","18,420","17,992","18,020","17,204","16,787","16,323","15,635","15,107","14,513","13,912","13,727","13,234","12,649","12,143","11,728","11,394","10,915","10,447","9,766","9,628","9,028","8,362","7,750","7,440","7,120","6,559","5,963","5,291","5,166","4,411","4,003","3,547","3,433","15,597"
  AL: Baldwin County (01003),"57,640","57,701","57,984","58,378","59,627","59,379","61,120","61,272","60,997","62,719","64,700","64,512","65,728","66,203","65,924","66,743","66,384","65,769","59,032","51,904","50,890","49,532","50,484","52,172","52,689","54,086","54,464","55,680","55,338","56,012","58,030","57,375","58,283","60,247","61,742","63,126","64,204","64,598","63,653","66,342","66,736","66,202","66,728","67,920","67,874","68,125","67,350","67,293","66,326","66,663","66,289","64,505","64,250","64,380","63,830","63,719","63,487","62,300","61,166","61,679","59,580","58,988","58,955","58,629","57,059","56,228","54,569","53,887","51,499","49,700","47,607","45,730","43,580","40,688","38,013","36,079","33,673","31,142","28,954","26,539","24,575","22,281","19,688","18,317","16,658","80,242"
  AL: Barbour County (01005),"10,163","10,288","10,238","10,439","10,404","11,082","10,573","10,963","10,541","11,006","11,232","11,329","11,054","11,133","11,414","11,635","12,302","11,976","10,367","9,721","10,264","10,418","11,445","11,345","11,312","11,559","11,587","11,441","11,777","11,656","11,788","11,307","11,757","11,206","11,598","11,405","11,736","11,819","11,802","11,966","11,918","11,451","11,484","11,370","12,014","11,549","11,338","10,956","10,596","10,523","10,840","10,410","9,857","10,118","10,419","10,250","9,521","9,125","9,070","8,969","8,847","8,415","8,318","8,109","8,236","7,729","7,522","7,587","7,017","7,182","6,800","6,464","6,151","5,541","5,636","5,169","4,913","4,535","4,635","4,148","3,743","3,520","3,150","2,989","2,628","13,393"
  AL: Bibb County (01007),"8,266","7,714","8,066","7,818","8,061","8,035","8,360","8,190","8,136","8,404","8,378","8,375","8,872","8,724","8,467","8,934","8,927","9,069","7,830","7,437","7,530","8,014","8,500","8,924","9,002","9,229","9,119","9,250","8,936","9,261","8,954","8,903","9,409","9,343","9,760","9,355","9,379","9,155","9,449","9,158","8,910","8,880","8,868","8,854","9,320","9,391","8,770","9,304","8,979","8,585","8,440","8,167","8,222","7,861","7,668","7,576","7,311","7,340","7,039","6,725","7,007","6,579","6,244","6,110","5,940","5,690","5,501","5,407","4,961","4,630","4,728","4,517","4,119","3,922","3,652","3,708","3,540","3,352","3,004","2,891","2,562","2,117","1,939","1,808","1,662","8,983"
  AL: Blount County (01009),"20,180","19,729","19,706","20,677","20,623","20,917","20,998","20,946","21,226","21,400","21,916","22,050","22,498","22,216","22,115","22,388","22,759","22,274","20,087","17,449","17,786","17,468","18,284","19,496","19,295","19,229","19,925","19,937","19,880","20,463","20,569","20,010","20,508","21,014","21,452","22,050","22,013","22,078","21,787","22,394","22,448","22,538","22,286","21,874","21,982","21,967","22,039","21,786","21,591","21,548","21,195","20,813","20,505","20,108","19,946","19,625","19,158","18,933","18,978","17,991","17,930","17,612","17,685","16,793","16,466","15,841","15,492","14,861","14,238","13,856","13,432","12,757","11,934","11,256","10,821","9,987","9,264","8,567","7,964","7,174","6,993","6,257","5,589","5,287","4,426","22,700"
  AL: Bullock County (01011),"4,580","4,280","4,411","4,417","4,378","4,726","4,428","4,188","4,328","4,423","4,532","4,587","4,423","4,611","4,702","4,708","4,945","4,792","4,306","4,061","4,178","4,506","4,755","4,657","4,795","4,889","5,092","4,696","4,781","4,869","4,749","4,790","4,562","4,381","4,539","4,631","4,755","4,473","4,824","4,577","4,510","4,501","4,665","4,439","4,493","4,531","4,303","4,509","4,359","4,214","4,286","4,208","4,025","4,048","3,898","3,947","3,829","3,646","3,613","3,563","3,367","3,238","3,363","3,077","2,913","3,020","2,733","2,592","2,505","2,642","2,394","2,273","2,236","2,122","2,009","2,035","1,822","1,922","1,708","1,729","1,735","1,406","1,187","1,238","1,040","6,669"
  AL: Butler County (01013),"8,159","8,142","8,059","8,247","8,613","8,605","8,771","8,412","9,004","9,139","9,526","9,302","9,121","9,377","9,610","9,548","10,077","10,109","9,032","7,674","7,478","7,425","7,316","7,305","7,253","7,089","7,784","7,166","7,071","7,241","7,433","7,639","7,366","7,523","7,827","7,821","8,084","7,771","8,122","8,107","8,266","7,909","7,876","7,928","8,234","8,154","8,062","8,131","8,279","8,036","8,082","7,921","7,857","7,641","7,936","7,808","7,723","7,546","7,199","7,296","7,192","7,153","6,926","6,593","6,727","6,422","6,184","6,115","5,629","5,565","5,587","5,365","5,276","4,783","5,056","4,488","4,298","4,419","4,061","3,783","3,669","3,494","3,107","2,801","2,564","15,077"
  AL: Calhoun County (01015),"42,089","42,906","42,487","43,117","42,299","43,296","42,880","44,066","43,128","44,833","45,579","46,035","45,412","46,725","46,716","47,140","47,243","48,481","51,689","56,200","54,642","54,620","53,079","51,711","49,910","49,201","47,386","47,186","46,146","45,742","45,163","44,862","44,926","45,804","46,669","47,189","46,678","46,400","46,370","47,696","47,229","46,932","48,058","47,625","47,168","47,488","47,169","46,907","46,506","46,596","46,157","45,415","44,588","44,744","44,447","43,257","42,571","41,601","41,180","39,508","38,594","37,341","37,521","35,878","35,044","33,543","32,490","32,107","31,050","29,748","28,859","26,605","26,105","23,833","23,100","22,384","20,808","19,543","17,766","16,741","15,819","14,263","13,001","11,585","10,271","50,295"
  AL: Chambers County (01017),"12,958","13,093","13,313","13,164","13,708","14,275","13,485","13,928","13,323","14,063","14,273","14,440","14,209","14,068","14,568","14,622","15,122","14,952","13,828","12,338","13,029","12,941","12,744","13,530","13,808","13,433","13,445","13,688","13,186","12,824","13,102","13,134","13,016","12,951","13,871","13,717","13,680","13,806","13,550","13,980","14,207","14,036","14,266","14,279","14,174","14,205","14,171","14,487","14,011","14,082","14,152","14,058","13,591","13,949","13,819","13,831","13,711","12,946","12,717","12,814","12,201","11,804","11,746","11,777","11,466","11,163","11,190","10,754","10,193","10,145","9,905","9,258","8,898","8,334","7,892","7,679","7,426","7,195","6,738","6,099","6,095","5,393","4,755","4,554","4,126","22,244"
