Demographic Data Report for United States by County
Population: Black
"All Ages, Both Sexes"
2017-2021 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Black),Rank within US
"United States",00000,12.6,41393012,"N/A"
"Claiborne County, Mississippi",28021,87.1,7941,"1 of 3143"
"Holmes County, Mississippi",28051,84.3,14535,"2 of 3143"
"Jefferson County, Mississippi",28063,83.3,6072,"3 of 3143"
"Macon County, Alabama",01087,81.0,15793,"4 of 3143"
"Tunica County, Mississippi",28143,79.9,7949,"5 of 3143"
"Greene County, Alabama",01063,79.2,6217,"6 of 3143"
"Humphreys County, Mississippi",28053,78.0,6178,"7 of 3143"
"Petersburg City, Virginia",51730,76.6,25452,"8 of 3143"
"Coahoma County, Mississippi",28027,75.6,16501,"9 of 3143"
"Sunflower County, Mississippi",28133,75.6,19867,"10 of 3143"
"Lowndes County, Alabama",01085,74.8,7731,"11 of 3143"
"Leflore County, Mississippi",28083,74.7,21334,"12 of 3143"
"Hancock County, Georgia",13141,73.6,6370,"13 of 3143"
"Allendale County, South Carolina",45005,73.2,6080,"14 of 3143"
"Hinds County, Mississippi",28049,73.0,168553,"15 of 3143"
"Noxubee County, Mississippi",28103,73.0,7602,"16 of 3143"
"Quitman County, Mississippi",28119,72.9,4614,"17 of 3143"
"Sharkey County, Mississippi",28125,72.4,3012,"18 of 3143"
"Washington County, Mississippi",28151,72.1,32893,"19 of 3143"
"Dallas County, Alabama",01047,71.7,28083,"20 of 3143"
"Sumter County, Alabama",01119,71.3,8899,"21 of 3143"
"Wilcox County, Alabama",01131,70.8,7571,"22 of 3143"
"Clayton County, Georgia",13063,70.5,207582,"23 of 3143"
"Perry County, Alabama",01105,70.1,6103,"24 of 3143"
"Dougherty County, Georgia",13095,69.9,60706,"25 of 3143"
"Wilkinson County, Mississippi",28157,69.1,6020,"26 of 3143"
"Bullock County, Alabama",01011,69.0,7164,"27 of 3143"
"East Carroll Parish, Louisiana",22035,67.2,5042,"28 of 3143"
"Williamsburg County, South Carolina",45089,64.4,20133,"29 of 3143"
"Randolph County, Georgia",13243,64.0,4164,"30 of 3143"
"Phillips County, Arkansas",05107,63.8,10805,"31 of 3143"
"Issaquena County, Mississippi",28055,63.7,708,"32 of 3143"
"Emporia City, Virginia",51595,63.5,3660,"33 of 3143"
"Madison Parish, Louisiana",22065,63.5,6541,"34 of 3143"
"Bolivar County, Mississippi",28011,63.5,19881,"35 of 3143"
"Lee County, South Carolina",45061,63.0,10547,"36 of 3143"
"Kemper County, Mississippi",28069,62.1,5717,"37 of 3143"
"Orangeburg County, South Carolina",45075,61.8,52461,"38 of 3143"
"Calhoun County, Georgia",13037,61.7,3497,"39 of 3143"
"Baltimore City, Maryland",24510,61.6,364879,"40 of 3143"
"Jefferson Davis County, Mississippi",28065,61.6,7002,"41 of 3143"
"Prince Georges County, Maryland",24033,61.5,589205,"42 of 3143"
"Tallahatchie County, Mississippi",28135,61.5,7945,"43 of 3143"
