Demographic Data Report for United States by County,,,,
Poverty: Persons below poverty,,,,
"All Ages, Black (includes Hispanic), Male",,,,
2017-2021 American Community Survey 5-Year Data,,,,
Sorted by Value,,,,
,,,,
County, FIPS,Value (Percent),People (Below Poverty),Rank within US
United States,00000,20.2,3785225,N/A
"Adams County, Iowa",19003,100,4,2788 of 2897
"Alcona County, Michigan",26001,100,15,2788 of 2897
"Alpine County, California",06003,100,4,2788 of 2897
"Appanoose County, Iowa",19007,100,2,2788 of 2897
"Archuleta County, Colorado",08007,100,10,2788 of 2897
"Audubon County, Iowa",19009,100,13,2788 of 2897
"Bath County, Virginia",51017,100,80,2788 of 2897
"Beaver County, Oklahoma",40007,100,7,2788 of 2897
"Beaverhead County, Montana",30001,100,85,2788 of 2897
"Big Stone County, Minnesota",27011,100,4,2788 of 2897
"Blaine County, Montana",30005,100,12,2788 of 2897
"Blanco County, Texas",48031,100,1,2788 of 2897
"Bland County, Virginia",51021,100,22,2788 of 2897
"Boise County, Idaho",16015,100,2,2788 of 2897
"Breathitt County, Kentucky",21025,100,107,2788 of 2897
"Briscoe County, Texas",48045,100,26,2788 of 2897
"Brooks County, Texas",48047,100,23,2788 of 2897
"Buchanan County, Virginia",51027,100,66,2788 of 2897
"Carroll County, Iowa",19027,100,2,2788 of 2897
"Carter County, Missouri",29035,100,1,2788 of 2897
"Cassia County, Idaho",16031,100,5,2788 of 2897
"Cedar County, Missouri",29039,100,3,2788 of 2897
"Cherry County, Nebraska",31031,100,9,2788 of 2897
"Clark County, Idaho",16033,100,6,2788 of 2897
"Clay County, West Virginia",54015,100,3,2788 of 2897
"Clinton County, Kentucky",21053,100,2,2788 of 2897
"Columbia County, Washington",53013,100,13,2788 of 2897
"Conejos County, Colorado",08021,100,9,2788 of 2897
"Crawford County, Indiana",18025,100,8,2788 of 2897
"Custer County, Idaho",16037,100,3,2788 of 2897
"Dallas County, Missouri",29059,100,1,2788 of 2897
"Daviess County, Missouri",29061,100,11,2788 of 2897
"Deer Lodge County, Montana",30023,100,8,2788 of 2897
"Dickinson County, Iowa",19059,100,4,2788 of 2897
"Douglas County, South Dakota",46043,100,25,2788 of 2897
"Edwards County, Illinois",17047,100,12,2788 of 2897
"Edwards County, Kansas",20047,100,1,2788 of 2897
"Emmons County, North Dakota",38029,100,2,2788 of 2897
"Gallatin County, Illinois",17059,100,11,2788 of 2897
"Graham County, North Carolina",37075,100,1,2788 of 2897
"Grant County, South Dakota",46051,100,22,2788 of 2897
"Greenwood County, Kansas",20073,100,8,2788 of 2897
"Guthrie County, Iowa",19077,100,9,2788 of 2897
"Hamilton County, Illinois",17065,100,9,2788 of 2897
"Hancock County, Tennessee",47067,100,2,2788 of 2897
"Harlan County, Nebraska",31083,100,2,2788 of 2897
"Haskell County, Texas",48207,100,84,2788 of 2897
"Hidalgo County, New Mexico",35023,100,21,2788 of 2897
"Idaho County, Idaho",16049,100,7,2788 of 2897
"Irion County, Texas",48235,100,71,2788 of 2897
"Jack County, Texas",48237,100,35,2788 of 2897
"Jackson County, Iowa",19097,100,79,2788 of 2897
"Jackson County, South Dakota",46071,100,10,2788 of 2897
"Jewell County, Kansas",20089,100,5,2788 of 2897
"Johnson County, Kentucky",21115,100,51,2788 of 2897
"Kent County, Texas",48263,100,1,2788 of 2897
"Knox County, Kentucky",21121,100,10,2788 of 2897
"Koochiching County, Minnesota",27071,100,33,2788 of 2897
"Lake County, Minnesota",27075,100,15,2788 of 2897
"Lincoln County, Washington",53043,100,3,2788 of 2897
"Lincoln County, West Virginia",54043,100,92,2788 of 2897
"Logan County, North Dakota",38047,100,1,2788 of 2897
"Lucas County, Iowa",19117,100,16,2788 of 2897
"Luce County, Michigan",26095,100,23,2788 of 2897
"Madison County, Missouri",29123,100,5,2788 of 2897
"Marion County, Arkansas",05089,100,68,2788 of 2897
"Marshall County, South Dakota",46091,100,1,2788 of 2897
"Martin County, Kentucky",21159,100,34,2788 of 2897
"McHenry County, North Dakota",38049,100,1,2788 of 2897
"McPherson County, South Dakota",46089,100,8,2788 of 2897
"Menifee County, Kentucky",21165,100,10,2788 of 2897
"Menominee County, Wisconsin",55078,100,3,2788 of 2897
"Mercer County, Missouri",29129,100,2,2788 of 2897
"Mills County, Texas",48333,100,7,2788 of 2897
"Mitchell County, North Carolina",37121,100,4,2788 of 2897
"Moniteau County, Missouri",29135,100,69,2788 of 2897
"Montgomery County, Arkansas",05097,100,3,2788 of 2897
"Morgan County, Tennessee",47129,100,3,2788 of 2897
"Norton City, Virginia",51720,100,71,2788 of 2897
"Ohio County, Indiana",18115,100,5,2788 of 2897
"Oregon County, Missouri",29149,100,1,2788 of 2897
"Osage County, Missouri",29151,100,3,2788 of 2897
"Polk County, Nebraska",31143,100,2,2788 of 2897
"Pulaski County, Indiana",18131,100,7,2788 of 2897
"Ripley County, Missouri",29181,100,21,2788 of 2897
