Demographic Data Report for United States by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Male"
2017-2021 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"United States",00000,5.0,5433445,"N/A"
"Kenedy County, Texas",48261,52.8,28,"3143 of 3143"
"Presidio County, Texas",48377,40.6,830,"3142 of 3143"
"Holmes County, Ohio",39075,37.4,4832,"3141 of 3143"
"LaGrange County, Indiana",18087,34.0,3939,"3140 of 3143"
"Hudspeth County, Texas",48229,33.0,407,"3139 of 3143"
"Gaines County, Texas",48165,30.1,1760,"3138 of 3143"
"Culberson County, Texas",48109,27.4,232,"3137 of 3143"
"Moore County, Texas",48341,26.7,1737,"3136 of 3143"
"Adams County, Washington",53001,25.7,1438,"3135 of 3143"
"Dimmit County, Texas",48127,25.7,667,"3134 of 3143"
"Grant County, Kansas",20067,25.3,549,"3133 of 3143"
"Cochran County, Texas",48079,24.2,210,"3132 of 3143"
"Starr County, Texas",48427,24.1,4210,"3131 of 3143"
"Castro County, Texas",48069,23.8,562,"3130 of 3143"
"Garza County, Texas",48169,23.7,658,"3129 of 3143"
"Owsley County, Kentucky",21189,23.1,307,"3128 of 3143"
"Glasscock County, Texas",48173,22.7,103,"3127 of 3143"
"Yoakum County, Texas",48501,21.8,489,"3126 of 3143"
"Crane County, Texas",48103,21.4,323,"3125 of 3143"
"Seward County, Kansas",20175,21.0,1413,"3124 of 3143"
"Texas County, Oklahoma",40139,20.7,1503,"3123 of 3143"
"Concho County, Texas",48095,20.1,309,"3122 of 3143"
"Atkinson County, Georgia",13003,19.8,535,"3121 of 3143"
"Maverick County, Texas",48323,19.7,3162,"3120 of 3143"
"Dallam County, Texas",48111,19.6,459,"3119 of 3143"
"Clinch County, Georgia",13065,19.3,417,"3118 of 3143"
"Zapata County, Texas",48505,18.8,709,"3117 of 3143"
"Haskell County, Kansas",20081,18.8,221,"3116 of 3143"
"Davis County, Iowa",19051,18.7,531,"3115 of 3143"
"Madera County, California",06039,18.7,8714,"3114 of 3143"
"Clark County, Idaho",16033,18.7,46,"3113 of 3143"
"Monterey County, California",06053,18.6,26722,"3112 of 3143"
"Sherman County, Texas",48421,18.4,138,"3111 of 3143"
"Colfax County, Nebraska",31037,18.3,654,"3110 of 3143"
"Hidalgo County, Texas",48215,18.0,42388,"3109 of 3143"
"Merced County, California",06047,18.0,14921,"3108 of 3143"
"Andrews County, Texas",48003,18.0,966,"3107 of 3143"
"Candler County, Georgia",13043,17.7,616,"3106 of 3143"
"Tulare County, California",06107,17.7,24466,"3105 of 3143"
"Hendry County, Florida",12051,17.7,2357,"3104 of 3143"
"Nobles County, Minnesota",27105,17.6,1299,"3103 of 3143"
