FIPS,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
01001,20.2,2.3,2.8,0.8,19.7,2.6,9.6,1.3,7.4,1.3,15.6,0.2,23.4,0.1,16.4,1.1,5.6,1.3,0.4,0.4,27.4,0.4,3.9,1.5,15.6,1.8,1.4,0.7,4,1.1,0.9,0,0.3621,0.1457,0.3388,0.4276,0.412,1.6862,0.2367,0.1718,0.6962,0.5581,0.5304,0.315,2.2715,0.3675,0.6354,0.6354,0.6354,0.5921,0.6892,0.3198,0.2491,0.1091,1.9593,0.2358,6.5524,0.2663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42938,10.9,1.7,19.6,0.9,3.2,0,1.1,0.4,0.1,0.1,0,0.1,3.3,1,0.2,0.3
01003,18.3,1.3,3.4,0.6,23.2,1.7,8.4,0.7,9.3,0.8,21.2,0.1,21.2,0,13.9,0.7,4.2,0.6,0.8,0.2,17.7,0.4,16.6,0.9,10.2,0.8,1.9,0.3,2.3,0.4,1.5,0,0.2638,0.2393,0.6297,0.3303,0.5727,2.0358,0.3433,0.6755,0.391,0.3261,0.2412,0.518,2.1518,0.2883,0.489,0.489,0.489,0.9535,0.5068,0.5087,0.0563,0.3299,2.3552,0.4308,7.0318,0.3487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,226339,10.9,1.1,8.3,0.3,4.8,0,0.9,0.1,0.2,0.1,0,0.1,3.1,0.4,0.4,0.3
01005,37.7,2.7,5.8,1.8,25.1,3.5,23.5,2,10.7,1.4,19.8,0.1,20.7,0.1,18.1,1.8,11.3,1.8,2,1,55.4,0.7,1.4,0.7,29.2,2.8,3.8,1.3,11.7,2.1,12,0.4,0.936,0.7082,0.7556,0.9618,0.6701,4.0317,0.9399,0.5453,0.3331,0.6974,0.9701,0.7773,3.3232,0.9399,0.8941,0.8941,0.8941,0.2494,0.9373,0.8587,0.9586,0.9551,3.9591,0.9959,12.2081,0.9927,1,0,0,1,0,2,0,0,0,1,0,1,0,0,0,1,0,1,1,3,6,27455,31.8,3.3,46.9,0.9,4.8,0,0.5,0.1,0.3,0.1,0,0.1,1.8,0.7,1.2,0.8
01007,29,4.5,8.7,3,23.2,4.6,21.1,2.8,8.4,1.9,16.8,0.6,21.2,0.4,19.6,2.2,7.2,2.5,0.3,0.5,25.8,0.2,2.7,1.8,30.6,4.3,1.3,0.7,7.5,3.5,6.4,1.2,0.7515,0.9338,0.6297,0.9373,0.4995,3.7518,0.8893,0.258,0.391,0.7868,0.7706,0.2475,2.4539,0.4954,0.6185,0.6185,0.6185,0.4531,0.95,0.2765,0.7792,0.8664,3.3252,0.8931,10.1494,0.8451,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,18664,20.2,4.3,20.7,1.3,2.9,0,0.3,0.4,0.1,0.1,0,0.2,1.7,1,0.1,0.1
01009,22.9,1.8,6,1.3,19.4,2.1,18.2,1.5,10.2,1.3,18.3,0.2,23,0.2,17,1.4,5.3,1.1,2.2,0.5,14.3,0.6,0.9,0.4,23.9,2.3,2.3,0.6,4.8,1.2,1,0,0.49,0.7385,0.3121,0.8734,0.6328,3.0468,0.6866,0.3926,0.6452,0.6134,0.4693,0.7973,2.9178,0.7884,0.413,0.413,0.413,0.1594,0.8778,0.636,0.3939,0.1403,2.2074,0.3532,8.585,0.6166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39822,16.9,2.1,1.2,0.3,9.7,0,0.2,0.2,0.1,0.1,0.2,0.2,2.8,0.7,0.1,0.1
01011,47.4,5.9,3.7,3.7,23.3,6.3,26.6,4.4,12.2,2.9,16.6,0.4,21.1,0,11.2,2.7,16.3,5.4,1.8,1.3,79.4,0.7,4.1,2.6,42.4,5.8,0.8,0.9,10.4,3.8,7.1,0.6,0.9882,0.2924,0.6405,0.9809,0.7585,3.6605,0.8654,0.244,0.3761,0.1114,0.9971,0.7534,2.482,0.5138,0.9809,0.9809,0.9809,0.6087,0.9924,0.1193,0.9332,0.8858,3.5394,0.9491,10.6628,0.8985,1,0,0,1,0,2,0,0,0,1,0,1,1,1,0,1,0,1,0,2,6,8449,38.4,7.1,68.9,0.8,8.8,0,0.4,0.5,0,0.4,0,0.4,1.3,1.1,0,0.4
01013,33.8,3.2,6.8,2.5,22.5,3.3,12.4,2,11,2,21.2,0.5,22.3,0.5,16.2,1.8,7.2,1.8,0.1,0.4,49.1,0.1,0.8,0.5,21.5,2.4,0.6,0.3,5,1.3,1.8,0,0.8743,0.832,0.5756,0.6246,0.6885,3.595,0.8441,0.6755,0.5444,0.5406,0.7706,0.0856,2.6167,0.6106,0.8661,0.8661,0.8661,0.1406,0.8377,0.0722,0.4295,0.4321,1.9121,0.217,8.9899,0.6872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17805,21.4,3,44.6,0.4,1.7,0,1.3,0.3,0.4,0.3,0,0.2,1.2,0.6,0,0.1
01015,28.7,1.7,6.9,1.1,23,1.8,14.9,1,10.8,0.9,17.9,0.1,21.2,0,20.2,1,6.9,1,0.5,0.2,29.5,0.2,3.7,0.6,14.6,1.3,1.7,0.4,5.6,0.9,3.2,0.1,0.7413,0.8403,0.6157,0.7553,0.6742,3.6268,0.854,0.3522,0.391,0.8218,0.7337,0.377,2.6757,0.65,0.658,0.658,0.658,0.5746,0.6634,0.4311,0.5358,0.6901,2.895,0.7114,9.8555,0.8145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120551,16.6,1.4,21.7,0.4,4.1,0,0.6,0.1,0.1,0.1,0.2,0.2,2.5,0.3,0.4,0.2
01017,28.8,3.1,3.6,1.2,23.1,2.8,16.5,2,10.8,1.6,19.7,0.1,20.8,0.1,20.8,1.6,5.6,2,0.3,0.3,45.7,0.2,7.2,1.7,13.6,1.9,5.3,1.7,7,1.4,1.8,0.1,0.7455,0.2752,0.6236,0.8158,0.6742,3.1343,0.7171,0.5348,0.3443,0.847,0.5304,0.2475,2.504,0.5317,0.8396,0.8396,0.8396,0.7922,0.6344,0.937,0.7203,0.4321,3.516,0.9469,9.9939,0.8295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,26891,21.4,2.7,40.8,0.4,3.3,0,0.2,0.2,0,0.1,0,0.1,1.3,0.4,0.2,0.2
01019,25.6,3.4,4,1.5,19.9,2.8,18.1,2.3,10.2,1.8,23.2,0.3,18.9,0.1,20.3,1.9,4.6,1.3,0.9,0.6,9.3,0.4,1.2,0.5,26.9,2.8,0.7,0.3,3.2,1.1,1.2,0,0.6163,0.3509,0.3532,0.8686,0.6328,2.8218,0.6077,0.8034,0.1683,0.8272,0.3223,0.5536,2.6748,0.6494,0.2628,0.2628,0.2628,0.2141,0.9195,0.0948,0.1413,0.2119,1.5816,0.1152,7.341,0.406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,18817,21.8,2.9,4,0.6,1.9,0,0.1,0.2,0.5,0.3,0,0.1,2.8,0.7,0.1,0.1
