"","Locationabbr","2020","2018","2016","2014","2012"
"1",10100,36.65,31.52,NA,45.71,NA
"2",10420,30.21,30.84,NA,NA,47.18
"3",10580,36.71,31.71,39.93,NA,NA
"4",10740,25.94,24.06,29.33,40.86,40.7
"5",11260,33.86,34.32,44.21,39.16,42.7
"6",12060,34.13,36.34,45.01,47.02,54.69
"7",12260,29.2,40.73,47.61,44.94,56.69
"8",12420,29.89,27.67,36.82,39.44,40.12
"9",12580,32.87,35.34,41.86,50.18,49.06
"10",12940,33.73,41.91,40.63,57.8,55.67
"11",13740,26.65,31.16,38.63,38.77,43.78
"12",13820,41.4,35.59,46.61,51.66,50.79
"13",13900,30.31,34.38,37.18,41.03,45.76
"14",14260,29.77,37.25,41.08,46.54,44.91
"15",14454,30.76,32.07,36.84,40.02,43.34
"16",15380,32.26,40.14,44.02,NA,NA
"17",15540,22.97,26.96,32.7,26.97,36.58
"18",15764,31.04,27.16,36.14,38.93,43.01
"19",15804,35.4,NA,55.73,42.62,47.32
"20",16300,35.65,34.14,40.96,38.08,49.7
"21",16620,36.53,44.48,45.75,47.22,47.32
"22",16700,38.56,37.79,45.32,44.52,49.88
"23",16740,34.93,31.5,42.15,44.26,51.12
"24",16980,30.53,30.47,39.29,39.89,41.76
"25",17140,31.73,34.62,35.6,43.46,47.13
"26",17460,32.79,36.85,35.63,42.84,43.68
"27",17820,25.95,31.99,34.44,41.21,42.88
"28",18140,29.18,35.79,40.75,38.5,44.89
"29",18580,NA,NA,NA,42.98,NA
"30",19124,26.95,29.67,41.96,46.88,44.44
"31",19340,28.78,NA,NA,NA,NA
"32",19430,36.2,28.41,NA,NA,NA
"33",19740,25.16,30.77,34.6,39,41.79
"34",19780,25.62,22.77,39.55,40.62,41.98
"35",20260,27.31,32.59,33.59,33.5,47.24
"36",21340,21.59,18.91,43.84,37.79,36.55
"37",22020,26.6,30.87,37.35,41.35,41.4
"38",22220,29.12,37.87,33.24,40.77,40.83
"39",23104,35.31,33.12,29.51,41.74,43.66
"40",23224,33.94,30.55,NA,NA,NA
"41",24260,32.85,29.56,45.43,40.81,41.72
"42",24340,25.91,33.86,44.53,45.4,42.97
"43",24860,25.68,32.81,42.12,41.23,46.06
"44",25060,38.12,NA,NA,NA,54.13
"45",25180,30.04,37.79,36.99,36.3,37.74
"46",25540,31.03,32.28,41.66,41.86,50.92
"47",26420,22.94,31.69,40.93,44.96,41.9
"48",26580,33.74,32.05,45.67,52.99,50.87
"49",26820,31.02,NA,NA,38.47,45.76
"50",26900,29.45,31.31,39.35,41.21,47.03
"51",27140,38.72,35.08,44.6,NA,44.08
"52",27260,27.73,34.64,44.08,51.66,38.67
"53",28140,32.54,30.48,42.09,48.24,50.84
"54",28940,44,43.9,46.27,42.49,61.13
"55",29180,36.13,35.63,NA,44.12,53.28
"56",30100,26.85,24.1,NA,NA,NA
"57",30700,32.08,28.99,38.37,38.74,42.04
"58",30780,37.41,44.72,38.72,52.97,41.76
"59",30860,30.55,NA,31.07,43.83,39.1
"60",31080,25.6,32.85,34.53,37.2,NA
"61",31140,36.77,42.35,38.75,44.76,47.29
"62",32820,23.83,30.94,47.46,45.32,45.05
"63",33100,43.06,36.3,43.59,49.3,51.09
"64",33340,39.52,33.47,45.27,42.53,48.05
"65",33460,25.91,28.31,30.51,35.24,38.51
"66",33660,35.43,35.18,NA,NA,51.2
"67",33874,36.06,36.89,44.97,36.92,48.44
"68",34980,32.15,31.79,41.84,37.6,53.76
"69",35004,42.91,42.43,47.79,46.14,56.83
"70",35084,33.78,43.48,48.46,44.91,45.24
"71",35154,36.76,34.58,NA,NA,NA
"72",35380,36.84,35.52,43.18,51.72,49.24
"73",35614,30.68,36.07,39.25,43.49,47.77
"74",35820,38.56,36.82,36.63,39.59,54.26
"75",36260,28.98,33.82,36.42,34.49,45.21
