Demographic Data Report for United States by County,,,,
Population: White,,,,
"All Ages, Both Sexes",,,,
2017-2021 American Community Survey 5-Year Data,,,,
Sorted by Value,,,,
,,,,
County,fips,Value (Percent),People (White),Rank within US
United States,00000,68.2,224789109,N/A
"Billings County, North Dakota",38007,100,839,1 of 3143
"Blaine County, Nebraska",31009,100,346,1 of 3143
"Clay County, West Virginia",54015,99.4,8131,3 of 3143
"Wheeler County, Nebraska",31183,99,728,4 of 3143
"Liberty County, Montana",30051,99,2006,5 of 3143
"Garfield County, Montana",30033,99,962,6 of 3143
"McPherson County, Nebraska",31117,98.9,470,7 of 3143
"Pocahontas County, West Virginia",54075,98.9,7915,8 of 3143
"Edwards County, Texas",48137,98.8,1350,9 of 3143
"Robertson County, Kentucky",21201,98.8,2170,10 of 3143
"Loving County, Texas",48301,98.8,82,11 of 3143
"Calhoun County, West Virginia",54013,98.7,6335,12 of 3143
"Menifee County, Kentucky",21165,98.5,6055,13 of 3143
"Webster County, West Virginia",54101,98.3,8273,14 of 3143
"Hancock County, Tennessee",47067,98.3,6580,15 of 3143
"Renville County, North Dakota",38075,98.3,2288,16 of 3143
"Rock County, Nebraska",31149,98.3,1298,17 of 3143
"Holmes County, Ohio",39075,98.2,43389,18 of 3143
"Valley County, Nebraska",31175,98.2,3958,19 of 3143
"Osage County, Missouri",29151,98.1,13120,20 of 3143
"Worth County, Missouri",29227,98.1,1966,21 of 3143
"Grant County, Nebraska",31075,98.1,704,22 of 3143
"Dundy County, Nebraska",31057,98,1862,23 of 3143
"Dickenson County, Virginia",51051,98,13966,24 of 3143
"Magoffin County, Kentucky",21153,97.9,11571,25 of 3143
"Wells County, North Dakota",38103,97.9,3946,26 of 3143
"Jackson County, Kentucky",21109,97.9,12749,27 of 3143
"Boone County, Nebraska",31011,97.8,5296,28 of 3143
"Deuel County, South Dakota",46039,97.8,4190,29 of 3143
"Lawrence County, Kentucky",21127,97.7,15907,30 of 3143
"Garden County, Nebraska",31069,97.7,1687,31 of 3143
"Campbell County, South Dakota",46021,97.7,1513,32 of 3143
"Gosper County, Nebraska",31073,97.7,1770,33 of 3143
"Scott County, Virginia",51169,97.7,21087,34 of 3143
"Wayne County, Utah",49055,97.7,2443,35 of 3143
"Treasure County, Montana",30103,97.7,677,36 of 3143
"Comanche County, Kansas",20033,97.7,1767,37 of 3143
"Scotland County, Missouri",29199,97.6,4646,38 of 3143
"Boone County, West Virginia",54005,97.6,21528,39 of 3143
"Shelby County, Illinois",17173,97.6,20648,40 of 3143
"Lincoln County, West Virginia",54043,97.6,20121,41 of 3143
"Wyoming County, West Virginia",54109,97.5,21051,42 of 3143
"Emmons County, North Dakota",38029,97.5,3234,43 of 3143
"Valley County, Idaho",16085,97.5,11189,44 of 3143
"Rockcastle County, Kentucky",21203,97.5,15762,45 of 3143
"Letcher County, Kentucky",21133,97.5,21238,46 of 3143
"Hodgeman County, Kansas",20083,97.5,1804,47 of 3143
"Lucas County, Iowa",19117,97.4,8429,48 of 3143
"Lewis County, Kentucky",21135,97.4,12767,49 of 3143
"Wetzel County, West Virginia",54103,97.4,14249,50 of 3143
"Mitchell County, Iowa",19131,97.4,10251,51 of 3143
"Chickasaw County, Iowa",19037,97.4,11704,52 of 3143
"Scott County, Tennessee",47151,97.3,21272,53 of 3143
"Keya Paha County, Nebraska",31103,97.3,920,54 of 3143
"Vinton County, Ohio",39163,97.2,12494,55 of 3143
"Tucker County, West Virginia",54093,97.2,6630,56 of 3143
"Meigs County, Ohio",39105,97.2,21730,57 of 3143
"Faulk County, South Dakota",46049,97.2,2096,58 of 3143
"Prairie County, Montana",30079,97.1,1192,59 of 3143
"Van Buren County, Iowa",19177,97.1,6989,60 of 3143
"Jasper County, Illinois",17079,97.1,9055,61 of 3143
"Jackson County, West Virginia",54035,97.1,27199,62 of 3143
"Knott County, Kentucky",21119,97.1,14085,63 of 3143
"Leslie County, Kentucky",21131,97.1,10313,64 of 3143
"Harrison County, Iowa",19085,97.1,14163,65 of 3143
"Pepin County, Wisconsin",55091,97.1,7114,66 of 3143
"Rush County, Indiana",18139,97.1,16218,67 of 3143
"Johnson County, Kentucky",21115,97.1,22127,68 of 3143
"Adair County, Iowa",19001,97.1,7221,69 of 3143
"Pleasants County, West Virginia",54073,97.1,7399,70 of 3143
"Jefferson County, Pennsylvania",42065,97.1,43179,71 of 3143
"Washington County, Indiana",18175,97,27197,72 of 3143
"Kiowa County, Colorado",08061,97,1372,73 of 3143
"Wolfe County, Kentucky",21237,97,6468,73 of 3143
"Nicholas County, West Virginia",54067,97,24033,75 of 3143
"Warren County, Indiana",18171,97,8178,76 of 3143
"Grundy County, Iowa",19075,97,11967,77 of 3143
"Keokuk County, Iowa",19107,97,9749,78 of 3143
"Tyler County, West Virginia",54095,97,8144,79 of 3143
"Brown County, Ohio",39015,97,42366,80 of 3143
"Floyd County, Kentucky",21071,96.9,35025,81 of 3143
"Buchanan County, Iowa",19019,96.9,19967,82 of 3143
"Monroe County, Illinois",17133,96.9,33668,83 of 3143
"Grainger County, Tennessee",47057,96.9,22659,84 of 3143
"Armstrong County, Pennsylvania",42005,96.9,63929,85 of 3143
"Pike County, Kentucky",21195,96.9,57091,86 of 3143
"Martin County, Indiana",18101,96.9,9578,87 of 3143
"Pickett County, Tennessee",47137,96.9,4865,88 of 3143
"Monroe County, West Virginia",54063,96.9,12102,89 of 3143
"Bedford County, Pennsylvania",42009,96.9,46235,90 of 3143
"Greene County, Indiana",18055,96.9,29954,91 of 3143
"Pawnee County, Nebraska",31133,96.8,2483,92 of 3143
"Sac County, Iowa",19161,96.8,9518,93 of 3143
"White County, Illinois",17193,96.8,13516,94 of 3143
"Big Stone County, Minnesota",27011,96.8,4991,95 of 3143
"Moultrie County, Illinois",17139,96.8,14167,96 of 3143
"Edgar County, Illinois",17045,96.8,16455,97 of 3143
"Jackson County, Colorado",08057,96.8,1331,98 of 3143
"Cedar County, Iowa",19031,96.8,17902,99 of 3143
"Washington County, Illinois",17189,96.8,13383,100 of 3143
"Doddridge County, West Virginia",54017,96.8,7674,101 of 3143
"Logan County, North Dakota",38047,96.7,1755,102 of 3143
"Trego County, Kansas",20195,96.7,2733,103 of 3143
"Fountain County, Indiana",18045,96.7,15885,104 of 3143
"Hardin County, Illinois",17069,96.7,3579,105 of 3143
"Franklin County, Indiana",18047,96.7,22024,106 of 3143
"Russell County, Virginia",51167,96.7,25083,107 of 3143
