Demographic Data Report for United States by County
Poverty: Persons below poverty
"All Ages, White Non-Hispanic, Male"
2017-2021 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"United States",00000,8.3,7837702,"N/A"
"King County, Texas",48269,43.2,35,"3142 of 3142"
"Wheeler County, Georgia",13309,36.7,961,"3141 of 3142"
"Hudspeth County, Texas",48229,35.0,90,"3140 of 3142"
"Costilla County, Colorado",08023,33.9,219,"3139 of 3142"
"Brooks County, Texas",48047,33.3,43,"3138 of 3142"
"Puerto Rico",72001,33.2,5039,"3137 of 3142"
"Wolfe County, Kentucky",21237,32.3,1055,"3136 of 3142"
"Hancock County, Tennessee",47067,31.3,962,"3135 of 3142"
"Harlan County, Kentucky",21095,31.2,3765,"3134 of 3142"
"Knox County, Kentucky",21121,30.9,4276,"3133 of 3142"
"McCreary County, Kentucky",21147,30.4,2222,"3132 of 3142"
"Breathitt County, Kentucky",21025,30.3,1979,"3131 of 3142"
"Lee County, Kentucky",21129,29.9,1011,"3130 of 3142"
"Radford City, Virginia",51750,29.7,1678,"3129 of 3142"
"Letcher County, Kentucky",21133,29.6,3006,"3128 of 3142"
"Clay County, Kentucky",21051,29.3,2595,"3127 of 3142"
"Jeff Davis County, Texas",48243,29.1,248,"3126 of 3142"
"Leslie County, Kentucky",21131,28.9,1443,"3125 of 3142"
"Lawrence County, Kentucky",21127,28.7,2240,"3124 of 3142"
"Jackson County, Kentucky",21109,28.4,1843,"3123 of 3142"
"Magoffin County, Kentucky",21153,28.1,1594,"3122 of 3142"
"Knott County, Kentucky",21119,27.9,1876,"3121 of 3142"
"Bell County, Kentucky",21013,27.7,3022,"3120 of 3142"
"Treutlen County, Georgia",13283,27.6,642,"3119 of 3142"
"Marlboro County, South Carolina",45069,27.5,1313,"3118 of 3142"
"Oktibbeha County, Mississippi",28105,27.4,3878,"3117 of 3142"
"Carter County, Kentucky",21043,27.3,3409,"3116 of 3142"
"Kinney County, Texas",48271,26.3,148,"3115 of 3142"
"Mingo County, West Virginia",54059,26.3,2945,"3114 of 3142"
"Floyd County, Kentucky",21071,26.2,4409,"3113 of 3142"
"Edwards County, Texas",48137,26.1,113,"3112 of 3142"
"Owsley County, Kentucky",21189,25.8,432,"3111 of 3142"
"Harrisonburg City, Virginia",51660,25.8,3423,"3110 of 3142"
"Calhoun County, West Virginia",54013,25.7,794,"3109 of 3142"
"McDowell County, West Virginia",54047,25.7,2004,"3108 of 3142"
"Buchanan County, Virginia",51027,25.6,2408,"3107 of 3142"
"Athens County, Ohio",39009,25.3,6268,"3106 of 3142"
"Menifee County, Kentucky",21165,25.3,794,"3105 of 3142"
"Quay County, New Mexico",35037,25.0,499,"3104 of 3142"
"Wheatland County, Montana",30107,25.0,220,"3103 of 3142"
"Dillon County, South Carolina",45033,24.9,1491,"3102 of 3142"
"Starr County, Texas",48427,24.7,266,"3101 of 3142"
"Clarke County, Georgia",13059,24.7,7672,"3100 of 3142"
"Clay County, West Virginia",54015,24.6,978,"3099 of 3142"
"Logan County, West Virginia",54045,24.6,3752,"3098 of 3142"
"Oregon County, Missouri",29149,24.5,998,"3097 of 3142"
"Culberson County, Texas",48109,24.4,33,"3096 of 3142"
"Elliott County, Kentucky",21063,24.3,684,"3095 of 3142"
"Luna County, New Mexico",35029,24.2,875,"3094 of 3142"
"San Augustine County, Texas",48405,23.9,638,"3093 of 3142"
"Pike County, Kentucky",21195,23.9,6538,"3092 of 3142"
"Lanier County, Georgia",13173,23.9,769,"3091 of 3142"
"Lee County, Virginia",51105,23.8,2437,"3090 of 3142"
"Okfuskee County, Oklahoma",40107,23.8,772,"3089 of 3142"
"Clay County, Tennessee",47027,23.7,823,"3088 of 3142"
"Crowley County, Colorado",08025,23.7,415,"3087 of 3142"
"Sierra County, New Mexico",35051,23.6,842,"3086 of 3142"
"Cumberland County, Kentucky",21057,23.5,635,"3085 of 3142"
"Lewis County, Kentucky",21135,23.4,1484,"3084 of 3142"
"Bacon County, Georgia",13005,23.3,860,"3083 of 3142"
"Montgomery County, Virginia",51121,23.3,8910,"3082 of 3142"
"Deer Lodge County, Montana",30023,23.2,968,"3081 of 3142"
"Fulton County, Kentucky",21075,23.0,487,"3080 of 3142"
"Bent County, Colorado",08011,22.7,262,"3079 of 3142"
"Clinch County, Georgia",13065,22.7,472,"3078 of 3142"
"Estill County, Kentucky",21065,22.5,1492,"3077 of 3142"
"Lake County, Tennessee",47095,22.5,368,"3076 of 3142"
"Wilkinson County, Georgia",13319,22.5,536,"3075 of 3142"
"Rowan County, Kentucky",21205,22.4,2255,"3074 of 3142"
"Whitman County, Washington",53075,22.3,3754,"3073 of 3142"
"Wyoming County, West Virginia",54109,22.3,2323,"3072 of 3142"
"Watauga County, North Carolina",37189,22.0,5075,"3071 of 3142"
"Webster County, West Virginia",54101,22.0,892,"3070 of 3142"
"Casey County, Kentucky",21045,22.0,1576,"3069 of 3142"
"Fentress County, Tennessee",47049,22.0,1870,"3068 of 3142"
"Quitman County, Mississippi",28119,21.8,159,"3067 of 3142"
"Quitman County, Georgia",13239,21.8,93,"3066 of 3142"
"Clinton County, Kentucky",21053,21.7,935,"3065 of 3142"
"Green County, Kentucky",21087,21.6,1107,"3064 of 3142"
"Cotton County, Oklahoma",40033,21.6,446,"3063 of 3142"
"Piute County, Utah",49031,21.5,187,"3062 of 3142"
"Chicot County, Arkansas",05017,21.5,371,"3061 of 3142"
"Brazos County, Texas",48041,21.4,12567,"3060 of 3142"
"Liberty County, Montana",30051,21.4,181,"3059 of 3142"
"Scioto County, Ohio",39145,21.4,6906,"3058 of 3142"
"Clare County, Michigan",26035,21.4,3091,"3057 of 3142"
"Concordia Parish, Louisiana",22029,21.4,1058,"3056 of 3142"
"Coal County, Oklahoma",40029,21.3,359,"3055 of 3142"
"Maverick County, Texas",48323,21.2,154,"3054 of 3142"
"Franklin County, Arkansas",05047,21.2,1611,"3053 of 3142"
"Sequatchie County, Tennessee",47153,21.2,1525,"3052 of 3142"
"Pope County, Illinois",17151,21.1,333,"3051 of 3142"
"Switzerland County, Indiana",18155,21.1,1010,"3050 of 3142"
"Eureka County, Nevada",32011,21.1,146,"3049 of 3142"
"Alexander County, Illinois",17003,21.1,338,"3048 of 3142"
"St. Francis County, Arkansas",05123,21.0,856,"3047 of 3142"
"Payne County, Oklahoma",40119,21.0,5994,"3046 of 3142"
"Isabella County, Michigan",26073,21.0,5198,"3045 of 3142"
"Albany County, Wyoming",56001,20.9,3091,"3044 of 3142"
"Grayson County, Kentucky",21085,20.9,2591,"3043 of 3142"
"Cochran County, Texas",48079,20.8,85,"3042 of 3142"
"Norton City, Virginia",51720,20.6,336,"3041 of 3142"
"Hart County, Kentucky",21099,20.5,1737,"3040 of 3142"
"Niobrara County, Wyoming",56027,20.5,206,"3039 of 3142"
"Lexington City, Virginia",51678,20.5,379,"3038 of 3142"
"Sumter County, Alabama",01119,20.5,282,"3037 of 3142"
"Perry County, Kentucky",21193,20.5,2639,"3036 of 3142"
"Wayne County, Missouri",29223,20.5,1033,"3035 of 3142"
"Bath County, Kentucky",21011,20.4,1218,"3034 of 3142"
"Richland Parish, Louisiana",22083,20.4,1190,"3033 of 3142"
"Wright County, Missouri",29229,20.4,1700,"3032 of 3142"
"Galax City, Virginia",51640,20.4,441,"3031 of 3142"
"Washington County, Florida",12133,20.4,1728,"3030 of 3142"
"Terry County, Texas",48445,20.4,464,"3029 of 3142"
"Morgan County, Kentucky",21175,20.3,1209,"3028 of 3142"
"Socorro County, New Mexico",35053,20.2,550,"3027 of 3142"
"Monroe County, Kentucky",21171,20.2,1053,"3026 of 3142"
"Caldwell Parish, Louisiana",22021,20.2,767,"3025 of 3142"
"Appling County, Georgia",13001,20.2,1259,"3024 of 3142"
"Lewis County, Tennessee",47101,20.2,1105,"3023 of 3142"
"Taylor County, Georgia",13269,20.1,426,"3022 of 3142"
"Adair County, Missouri",29001,20.1,1998,"3021 of 3142"
"Johnston County, Oklahoma",40069,20.0,681,"3020 of 3142"
"Riley County, Kansas",20161,20.0,5062,"3019 of 3142"
"Barren County, Kentucky",21009,20.0,3773,"3018 of 3142"
"Robertson County, Kentucky",21201,20.0,192,"3017 of 3142"
"Howell County, Missouri",29091,19.9,3561,"3016 of 3142"
"Carroll County, Kentucky",21041,19.9,919,"3015 of 3142"
"Scott County, Tennessee",47151,19.9,2028,"3014 of 3142"
"Bath County, Virginia",51017,19.9,399,"3013 of 3142"
"Fayette County, West Virginia",54019,19.7,3596,"3012 of 3142"
"Roane County, West Virginia",54087,19.7,1324,"3011 of 3142"
"Bamberg County, South Carolina",45009,19.7,460,"3010 of 3142"
"Laurel County, Kentucky",21125,19.7,5620,"3009 of 3142"
"Perry County, Tennessee",47135,19.6,727,"3008 of 3142"
"Nodaway County, Missouri",29147,19.6,1739,"3007 of 3142"
"Jones County, North Carolina",37103,19.6,559,"3006 of 3142"
"Lincoln Parish, Louisiana",22061,19.6,2360,"3005 of 3142"
"Emanuel County, Georgia",13107,19.6,1227,"3004 of 3142"
"Iron County, Missouri",29093,19.5,836,"3003 of 3142"
"Schuyler County, Illinois",17169,19.5,650,"3002 of 3142"
"Claiborne County, Mississippi",28021,19.4,99,"3001 of 3142"
"Tippah County, Mississippi",28139,19.4,1596,"3000 of 3142"
"Torrance County, New Mexico",35057,19.4,755,"2999 of 3142"
"Tishomingo County, Mississippi",28141,19.4,1617,"2998 of 3142"
"Monroe County, Indiana",18105,19.3,10021,"2997 of 3142"
"Martinsville City, Virginia",51690,19.3,500,"2996 of 3142"
"Summers County, West Virginia",54089,19.3,1018,"2995 of 3142"
"Ripley County, Missouri",29181,19.3,979,"2994 of 3142"
"Appanoose County, Iowa",19007,19.2,1097,"2993 of 3142"
"Dunklin County, Missouri",29069,19.2,1994,"2992 of 3142"
"Jackson County, Illinois",17077,19.2,3593,"2991 of 3142"
"Whitley County, Kentucky",21235,19.1,3141,"2990 of 3142"
"Newton County, Texas",48351,19.1,888,"2989 of 3142"
"Barton County, Missouri",29011,19.1,1010,"2988 of 3142"
"Catahoula Parish, Louisiana",22025,19.1,496,"2987 of 3142"
"Polk County, Arkansas",05113,19.1,1565,"2986 of 3142"
"Shannon County, Missouri",29203,19.1,623,"2985 of 3142"
"Rockcastle County, Kentucky",21203,19.0,1431,"2984 of 3142"
"Pulaski County, Kentucky",21199,19.0,5509,"2983 of 3142"
"Kiowa County, Oklahoma",40075,19.0,581,"2982 of 3142"
"Cedar County, Missouri",29039,18.9,1253,"2981 of 3142"
"Adams County, Ohio",39001,18.9,2452,"2980 of 3142"
"Raleigh County, West Virginia",54081,18.9,5839,"2979 of 3142"
"Jackson County, West Virginia",54035,18.8,2524,"2978 of 3142"
"Wayne County, Kentucky",21231,18.8,1678,"2977 of 3142"
"Conway County, Arkansas",05029,18.7,1540,"2976 of 3142"
"Carlisle County, Kentucky",21039,18.7,424,"2975 of 3142"
"Hughes County, Oklahoma",40063,18.7,724,"2974 of 3142"
"DeSoto County, Florida",12027,18.7,1678,"2973 of 3142"
"Charlottesville City, Virginia",51540,18.6,2657,"2971 of 3142"
"Malheur County, Oregon",41045,18.6,1572,"2971 of 3142"
"Judith Basin County, Montana",30045,18.6,193,"2970 of 3142"
"Madison County, Idaho",16065,18.6,4197,"2969 of 3142"
"Bledsoe County, Tennessee",47007,18.6,1237,"2968 of 3142"
"Jenkins County, Georgia",13165,18.6,441,"2967 of 3142"
"Grant County, New Mexico",35017,18.5,1193,"2966 of 3142"
"Trinity County, California",06105,18.5,1195,"2965 of 3142"
"Lincoln County, West Virginia",54043,18.5,1836,"2964 of 3142"
"Pike County, Mississippi",28113,18.5,1510,"2963 of 3142"
"Pushmataha County, Oklahoma",40127,18.5,677,"2962 of 3142"
"Meigs County, Ohio",39105,18.4,1949,"2961 of 3142"
"Chattooga County, Georgia",13055,18.4,1769,"2960 of 3142"
"Irwin County, Georgia",13155,18.4,591,"2959 of 3142"
"Pemiscot County, Missouri",29155,18.3,948,"2958 of 3142"
"Nicholas County, Kentucky",21181,18.3,640,"2957 of 3142"
"Wirt County, West Virginia",54105,18.3,468,"2956 of 3142"
"Lawrence County, Ohio",39087,18.3,4856,"2955 of 3142"
"Beaverhead County, Montana",30001,18.3,749,"2954 of 3142"
"Vinton County, Ohio",39163,18.3,1132,"2953 of 3142"
"Lake County, Michigan",26085,18.3,960,"2952 of 3142"
"Franklin Parish, Louisiana",22041,18.3,1079,"2951 of 3142"
"Haines Borough, Alaska",02100,18.3,159,"2950 of 3142"
"Lincoln County, Kentucky",21137,18.2,2002,"2949 of 3142"
"Breckinridge County, Kentucky",21027,18.2,1703,"2948 of 3142"
"Berrien County, Georgia",13019,18.2,1301,"2947 of 3142"
